수량,중량,평균가,yyyy,mm,dd,산지_서천,산지_완도,산지_충무,산지_통영,산지_흑산도
44,1.0,9400,2018,8,3,0,0,0,1,0
30,1.0,9700,2018,8,4,0,0,0,1,0
201,1.0,13600,2018,8,7,0,0,0,1,0
208,1.0,6400,2018,8,9,0,0,0,1,0
181,1.0,11800,2018,8,10,0,0,0,1,0
211,1.0,6800,2018,8,11,0,0,0,1,0
35,1.0,4000,2018,8,16,0,0,0,1,0
35,1.0,17000,2018,8,18,0,0,0,1,0
54,1.0,9500,2018,8,20,0,0,0,1,0
22,1.0,6500,2018,8,21,0,0,0,1,0
46,1.0,9500,2018,8,22,0,0,0,1,0
61,1.0,9900,2018,8,23,0,0,0,1,0
59,1.0,9800,2018,8,28,0,0,0,1,0
215,1.0,14300,2018,8,29,0,0,0,1,0
544,1.0,11100,2018,8,30,0,0,0,1,0
256,1.0,8000,2018,8,31,0,0,0,1,0
226,1.0,10900,2018,9,1,0,0,0,1,0
372,1.0,8100,2018,9,3,0,0,0,1,0
19,1.0,12100,2018,9,6,0,0,0,1,0
43,1.0,13400,2018,9,7,0,0,0,1,0
7,1.0,14000,2018,9,11,0,0,0,1,0
6,1.0,14000,2018,9,12,0,0,0,1,0
213,1.0,10300,2018,9,18,0,0,0,1,0
255,1.0,10300,2018,9,19,0,0,0,1,0
80,1.0,11900,2018,9,20,0,0,0,1,0
279,1.0,9500,2018,9,21,0,0,0,1,0
9,1.0,24100,2018,9,22,0,0,0,1,0
122,1.0,9900,2018,9,23,0,0,0,1,0
119,1.0,15100,2018,9,27,0,0,0,1,0
38,1.0,12900,2018,9,28,0,0,0,1,0
290,1.0,10100,2018,9,29,0,0,0,1,0
46,1.0,10700,2018,10,1,0,0,0,1,0
57,1.0,12500,2018,10,6,0,0,0,1,0
105,1.0,10500,2018,10,9,0,0,0,1,0
146,1.0,11100,2018,10,15,0,0,0,1,0
3,1.0,30000,2018,10,18,0,0,0,1,0
141,1.0,7000,2018,10,19,0,0,0,1,0
36,1.0,8100,2018,10,23,0,0,0,1,0
