amount,weight,avg_price,yyyy,mm,dd,origin_군산,origin_대천,origin_완도,standard_12/13미,standard_13/14미,standard_14/15미,standard_15/16미
2046,104,1.0,25100,2017,5,4,0,0,1,0,1,0,0
2048,141,1.0,24200,2017,5,4,0,0,1,0,0,1,0
2050,188,1.0,23300,2017,5,4,0,0,1,0,0,0,1
2064,137,1.0,24900,2017,5,5,0,0,1,1,0,0,0
2066,138,1.0,24900,2017,5,5,0,0,1,0,1,0,0
2068,286,1.0,23800,2017,5,5,0,0,1,0,0,1,0
2070,92,1.0,24200,2017,5,5,0,0,1,0,0,0,1
2086,179,1.0,24800,2017,5,6,0,0,1,1,0,0,0
2087,126,1.0,24500,2017,5,6,0,0,1,0,1,0,0
2088,195,1.0,24600,2017,5,6,0,0,1,0,0,1,0
