amount,weight,avg_price,yyyy,mm,dd,origin_부산(기장),origin_삼천포,origin_안흥,origin_제주도,origin_포항,standard_18미,standard_20미,standard_28미,standard_중
1406,63,15.0,32000,2017,6,12,0,0,0,1,0,0,0,0,1
1408,129,15.0,15000,2017,6,12,0,0,0,0,1,0,0,0,1
1420,21,15.0,23900,2017,6,14,0,0,0,0,1,0,0,0,1
1429,276,18.0,45000,2017,6,15,1,0,0,0,0,0,1,0,0
1433,80,18.0,35000,2017,6,15,1,0,0,0,0,0,0,1,0
1435,31,15.0,30000,2017,6,15,0,0,0,1,0,0,0,0,1
1436,17,15.0,15000,2017,6,15,0,0,0,0,1,0,0,0,1
1443,138,18.0,39300,2017,6,16,1,0,0,0,0,0,1,0,0
1457,3,10.0,38000,2017,6,19,0,0,0,1,0,0,1,0,0
1464,42,18.0,50000,2017,6,20,1,0,0,0,0,0,1,0,0
1469,1,15.0,20000,2017,6,20,0,0,0,1,0,0,0,0,1
1473,40,10.0,45000,2017,6,21,1,0,0,0,0,0,1,0,0
1478,41,15.0,24000,2017,6,21,0,0,0,1,0,0,1,0,0
1481,1,10.0,25000,2017,6,21,0,0,0,1,0,0,0,0,1
1482,8,15.0,70000,2017,6,21,0,0,0,1,0,0,0,0,1
1491,40,18.0,70000,2017,6,23,1,0,0,0,0,1,0,0,0
1497,101,15.0,38000,2017,6,23,0,0,0,1,0,0,0,0,1
1498,34,15.0,18000,2017,6,23,0,0,0,0,1,0,0,0,1
1503,42,18.0,65000,2017,6,24,1,0,0,0,0,1,0,0,0
1508,37,15.0,25800,2017,6,24,0,0,0,1,0,0,0,0,1
1510,48,18.0,48900,2017,6,26,1,0,0,0,0,0,1,0,0
1514,350,18.0,22700,2017,6,26,1,0,0,0,0,0,0,1,0
1517,13,10.0,25400,2017,6,26,0,0,0,1,0,0,1,0,0
1519,4,10.0,25000,2017,6,26,0,0,0,1,0,0,0,0,1
1532,83,18.0,44900,2017,6,27,1,0,0,0,0,1,0,0,0
1533,30,18.0,33000,2017,6,27,1,0,0,0,0,0,1,0,0
1539,10,10.0,10000,2017,6,27,0,0,0,1,0,0,1,0,0
1545,99,18.0,47500,2017,6,28,1,0,0,0,0,1,0,0,0
1546,18,18.0,54700,2017,6,28,1,0,0,0,0,0,1,0,0
1550,212,18.0,10200,2017,6,28,1,0,0,0,0,0,0,1,0
1559,23,18.0,60000,2017,6,29,1,0,0,0,0,1,0,0,0
1560,190,18.0,35100,2017,6,29,1,0,0,0,0,0,1,0,0
1564,177,18.0,17400,2017,6,29,1,0,0,0,0,0,0,1,0
1573,62,18.0,56200,2017,6,30,1,0,0,0,0,1,0,0,0
1574,17,18.0,41200,2017,6,30,1,0,0,0,0,0,1,0,0
1578,100,18.0,15000,2017,6,30,1,0,0,0,0,0,0,1,0
1585,70,18.0,58000,2017,7,1,1,0,0,0,0,1,0,0,0
1586,25,18.0,47600,2017,7,1,1,0,0,0,0,0,1,0,0
1591,200,18.0,38000,2017,7,3,1,0,0,0,0,0,0,1,0
1592,230,18.0,38000,2017,7,3,1,0,0,0,0,0,0,0,1
1593,1,10.0,45000,2017,7,3,0,0,0,1,0,0,1,0,0
1601,14,18.0,70000,2017,7,4,1,0,0,0,0,1,0,0,0
1602,144,18.0,50600,2017,7,4,1,0,0,0,0,0,1,0,0
1605,3,18.0,35000,2017,7,4,1,0,0,0,0,0,0,1,0
1607,26,15.0,50000,2017,7,4,0,0,0,1,0,0,0,0,1
1612,89,15.0,22000,2017,7,5,0,0,0,0,1,0,0,0,1
1618,14,15.0,52100,2017,7,6,0,0,0,1,0,0,0,0,1
1626,48,18.0,75000,2017,7,7,1,0,0,0,0,0,1,0,0
1631,11,15.0,58200,2017,7,7,0,0,0,1,0,0,0,0,1
1638,20,18.0,70000,2017,7,8,1,0,0,0,0,1,0,0,0
1639,34,18.0,49700,2017,7,8,1,0,0,0,0,0,1,0,0
1646,9,10.0,38900,2017,7,8,0,0,0,1,0,0,0,0,1
1647,33,15.0,53300,2017,7,8,0,0,0,1,0,0,0,0,1
1648,56,15.0,14000,2017,7,8,0,0,0,0,1,0,0,0,1
1653,2,15.0,38000,2017,7,10,0,0,0,1,0,0,1,0,0
1654,14,10.0,37500,2017,7,10,0,0,0,1,0,0,0,0,1
1655,3,15.0,41700,2017,7,10,0,0,0,1,0,0,0,0,1
1663,13,10.0,55000,2017,7,11,0,0,0,1,0,0,0,0,1
1664,13,15.0,39600,2017,7,11,0,0,0,1,0,0,0,0,1
